Q,Ewe
1.08E-03,2.12619
4.80E-03,2.13625
1.42E-02,2.14625
3.47E-02,2.15626
0.07305,2.16626
0.14237,2.17627
0.25707,2.18628
0.44683,2.1963
0.64669,2.20315
0.84653,2.20822
1.04636,2.21203
1.24621,2.21535
1.44604,2.21889
1.64589,2.22278
1.84574,2.22585
2.04558,2.22847
2.24543,2.23073
2.44527,2.23241
2.6451,2.23405
2.84495,2.23541
3.04478,2.23672
3.24463,2.23806
3.44448,2.23945
3.64432,2.24064
3.84418,2.24183
4.044,2.24322
4.24384,2.2445
4.44369,2.24559
4.64353,2.24682
4.84338,2.2479
5.04323,2.24915
5.24307,2.2499
5.44291,2.25104
5.64275,2.25195
5.8426,2.25299
6.04245,2.25391
6.24229,2.25488
6.44214,2.25616
6.64199,2.25844
6.84184,2.26019
7.04169,2.2617
7.24153,2.26293
7.44137,2.26383
7.64121,2.26467
7.84106,2.26538
8.04091,2.26617
8.24074,2.26683
8.44059,2.26758
8.64044,2.26818
8.84027,2.26893
9.04012,2.26983
9.23995,2.27062
9.43979,2.27124
9.63964,2.27211
9.83947,2.27264
10.03932,2.27361
10.23918,2.2744
10.43902,2.27531
10.63886,2.276
10.8387,2.27679
11.03854,2.27764
11.23839,2.27876
11.43823,2.28044
11.63808,2.28238
11.83792,2.28371
12.03778,2.285
12.23762,2.28609
12.43746,2.28701
12.63731,2.28792
12.83715,2.28876
13.037,2.28968
13.23684,2.29056
13.43669,2.29157
13.63653,2.29236
13.83637,2.29335
14.03619,2.29417
14.23603,2.29523
14.43588,2.29627
14.63572,2.29709
14.83556,2.29786
15.03541,2.29882
15.23525,2.29996
15.43513,2.30132
15.63497,2.30325
15.83482,2.30482
16.03469,2.30599
16.23454,2.3069
16.43435,2.30792
16.6342,2.30902
16.83404,2.3097
17.03388,2.31037
17.23373,2.31128
17.43357,2.31212
17.63339,2.313
17.83323,2.31393
18.03311,2.31468
18.23295,2.31555
18.43279,2.31644
18.63261,2.31719
18.83245,2.31797
19.0323,2.3188
19.23214,2.31968
19.43199,2.32132
