frequency (Hz),Z',Z''
100003.7109,52.64035,1.97586
89129.30469,52.68547,2.21189
79433.27344,52.75748,2.46881
70794.98438,52.84118,2.74362
63093.82422,52.97421,3.02547
56237.00781,53.10062,3.32485
50122.47656,53.25028,3.64066
44666.71484,53.42964,3.99116
39814.05859,53.62301,4.35876
35481,53.8608,4.74395
31621.13867,54.1206,5.16988
28188.09375,54.42136,5.59987
25116.91016,54.74604,6.03679
22389.02734,55.13663,6.56247
19948.78516,55.54779,7.0235
17786.89063,56.00269,7.57774
15847.68262,56.53059,8.1269
14121.88281,57.1114,8.67545
12590.92969,57.7149,9.25762
11217.70996,58.43961,9.8129
10002.22559,59.18829,10.38971
8916.64258,60.0394,10.9702
7942.40088,60.89613,11.52634
7079.49707,61.85719,12.07983
6309.38281,62.88845,12.60313
5622.77295,63.94905,13.09907
5010.3916,65.0769,13.56235
4470.48633,66.26271,13.96278
3983.60107,67.50479,14.32335
3548.00439,68.79159,14.64337
3163.07983,70.09894,14.90818
2817.5332,71.42215,15.0872
2510.80322,72.74133,15.23276
2247.84229,74.02269,15.28723
1995.63879,75.43253,15.32999
1778.2926,76.73663,15.29352
1585.50745,78.04057,15.21432
1411.83728,79.33878,15.09339
1258.79126,80.59068,14.91786
1121.79517,81.79094,14.71432
1000.32019,82.9635,14.53684
891.42621,84.12152,14.24528
794.23785,85.20195,13.95813
707.50934,86.30725,13.67243
631.00964,87.306,13.39388
562.33936,88.29824,13.08364
501.44418,89.20444,12.8276
446.85892,90.09192,12.51
398.08914,90.9687,12.27492
354.65955,91.79636,12.04031
316.31589,92.54211,11.83153
281.89435,93.29431,11.63357
251.04433,94.0197,11.47469
223.92519,94.73226,11.33397
199.55299,95.41783,11.20242
177.78128,96.13715,11.19074
158.42841,96.80081,11.16113
141.31136,97.47182,11.20072
125.84567,98.16879,11.20202
112.18995,98.87088,11.26809
100.03201,99.52855,11.39334
89.11594,100.2877,11.53554
79.41551,101.00854,11.66681
70.83871,101.73032,11.9007
63.0823,102.5648,12.10042
56.24182,103.30491,12.28304
50.14442,104.09897,12.60179
44.67122,104.98442,12.83254
39.80891,105.85844,13.21351
35.46531,106.69402,13.48731
31.62955,107.61268,13.80213
28.17007,108.57404,14.17907
25.10443,109.5584,14.49901
22.38539,110.5876,14.94785
19.9553,111.563,15.2433
17.79613,112.65411,15.64598
15.85758,113.70932,16.12045
14.11898,114.86953,16.52297
12.60081,115.9432,16.98396
11.22486,117.11663,17.43029
10.0032,118.31396,17.94265
8.91838,119.52847,18.4726
7.93953,120.72819,18.98978
7.07654,122.00893,19.56779
6.31058,123.28707,20.13377
5.6205,124.63692,20.80598
5.01444,125.98534,21.54765
4.46939,127.34286,22.19909
3.97785,128.70094,22.9899
3.55114,130.17107,23.87472
3.1604,131.7467,24.76499
2.81836,133.22597,25.70393
2.51367,134.87912,26.76681
2.23982,136.52953,27.79226
1.99706,138.31644,29.07802
1.77961,140.01677,30.23894
1.58469,142.01848,31.61359
1.41224,143.90276,33.0214
1.25967,146.01971,34.47966
1.12249,148.19699,36.14096
1.00006,150.37027,37.79659
0.89184,152.79701,39.54285
0.79444,155.30072,41.55054
0.70868,157.77348,43.50436
0.63126,160.55994,45.60011
0.56254,163.54327,47.84161
0.50119,166.45134,50.22182
0.44694,169.60432,52.5317
0.39774,173.0719,55.15156
0.35518,176.47025,57.90749
0.31619,180.0033,60.67085
0.28192,183.8154,63.4514
0.25117,187.84473,66.54604
0.22365,191.85219,69.86842
0.19934,195.82529,73.13064
0.17801,200.00002,76.44041
0.15847,204.43936,80.21693
0.1414,208.60968,84.28482
0.12591,212.7666,88.53712
0.11209,217.12473,93.05988
0.0999,221.57433,98.19823
0.08922,225.7478,103.9646
0.07942,229.86992,110.35402
0.07083,234.15944,117.17265
0.06312,238.57834,125.08541
0.05618,243.47404,134.25307
0.05015,247.78708,144.15852
0.04472,252.50266,154.83301
0.03982,258.01996,167.26596
0.03547,263.36823,181.40244
0.03159,269.46494,197.12894
0.0282,275.8168,213.71429
0.02514,283.2934,232.21446
0.02241,291.53275,253.16681
0.01995,300.22021,276.34085
0.01777,310.1189,301.03232
0.01586,321.383,327.01859
0.01411,334.45337,356.19763
0.01258,348.36539,387.79767
0.01123,363.45078,419.89279
0.01001,381.16602,454.6344
